,cluster_id,galaxy_id
771,800,NGC_1433
772,805,NGC_1433
773,809,NGC_1433
774,830,NGC_1433
775,834,NGC_1433
776,844,NGC_1433
777,848,NGC_1433
778,857,NGC_1433
779,862,NGC_1433
780,881,NGC_1433
781,896,NGC_1433
782,2,NGC_2835
783,5,NGC_2835
784,7,NGC_2835
785,8,NGC_2835
786,9,NGC_2835
787,10,NGC_2835
788,12,NGC_2835
789,13,NGC_2835
790,15,NGC_2835
791,26,NGC_2835
792,35,NGC_2835
793,37,NGC_2835
794,38,NGC_2835
795,39,NGC_2835
796,40,NGC_2835
797,42,NGC_2835
798,45,NGC_2835
799,52,NGC_2835
800,54,NGC_2835
801,56,NGC_2835
802,57,NGC_2835
803,60,NGC_2835
804,61,NGC_2835
805,66,NGC_2835
806,71,NGC_2835
807,72,NGC_2835
808,77,NGC_2835
809,78,NGC_2835
810,80,NGC_2835
811,84,NGC_2835
812,85,NGC_2835
813,90,NGC_2835
814,92,NGC_2835
815,93,NGC_2835
816,96,NGC_2835
817,98,NGC_2835
818,99,NGC_2835
819,103,NGC_2835
820,105,NGC_2835
821,110,NGC_2835
822,113,NGC_2835
823,116,NGC_2835
824,118,NGC_2835
825,119,NGC_2835
826,122,NGC_2835
827,127,NGC_2835
828,132,NGC_2835
829,134,NGC_2835
830,135,NGC_2835
831,140,NGC_2835
832,141,NGC_2835
833,143,NGC_2835
834,144,NGC_2835
835,152,NGC_2835
836,156,NGC_2835
837,159,NGC_2835
838,160,NGC_2835
839,163,NGC_2835
840,164,NGC_2835
841,168,NGC_2835
842,170,NGC_2835
843,171,NGC_2835
844,175,NGC_2835
845,176,NGC_2835
846,177,NGC_2835
847,180,NGC_2835
848,182,NGC_2835
849,184,NGC_2835
850,187,NGC_2835
851,190,NGC_2835
852,192,NGC_2835
853,194,NGC_2835
854,198,NGC_2835
855,202,NGC_2835
856,203,NGC_2835
857,205,NGC_2835
858,206,NGC_2835
859,210,NGC_2835
860,222,NGC_2835
861,228,NGC_2835
862,230,NGC_2835
863,231,NGC_2835
864,235,NGC_2835
865,247,NGC_2835
866,262,NGC_2835
867,264,NGC_2835
868,265,NGC_2835
869,266,NGC_2835
870,267,NGC_2835
871,269,NGC_2835
872,274,NGC_2835
873,277,NGC_2835
874,284,NGC_2835
875,290,NGC_2835
876,293,NGC_2835
877,297,NGC_2835
878,299,NGC_2835
879,300,NGC_2835
880,302,NGC_2835
881,303,NGC_2835
882,305,NGC_2835
883,309,NGC_2835
884,318,NGC_2835
885,322,NGC_2835
886,331,NGC_2835
887,336,NGC_2835
888,338,NGC_2835
889,339,NGC_2835
890,341,NGC_2835
891,345,NGC_2835
892,346,NGC_2835
893,349,NGC_2835
894,353,NGC_2835
895,363,NGC_2835
896,364,NGC_2835
897,367,NGC_2835
898,369,NGC_2835
899,374,NGC_2835
900,375,NGC_2835
901,376,NGC_2835
902,377,NGC_2835
903,382,NGC_2835
904,384,NGC_2835
905,389,NGC_2835
906,390,NGC_2835
907,391,NGC_2835
908,403,NGC_2835
909,405,NGC_2835
910,407,NGC_2835
911,408,NGC_2835
912,413,NGC_2835
913,414,NGC_2835
914,416,NGC_2835
915,418,NGC_2835
916,420,NGC_2835
917,421,NGC_2835
918,431,NGC_2835
919,432,NGC_2835
920,435,NGC_2835
921,438,NGC_2835
922,444,NGC_2835
923,446,NGC_2835
924,447,NGC_2835
925,455,NGC_2835
926,457,NGC_2835
927,466,NGC_2835
928,469,NGC_2835
929,482,NGC_2835
930,495,NGC_2835
931,498,NGC_2835
932,505,NGC_2835
933,508,NGC_2835
934,509,NGC_2835
935,513,NGC_2835
936,518,NGC_2835
937,524,NGC_2835
938,533,NGC_2835
939,536,NGC_2835
940,537,NGC_2835
941,544,NGC_2835
942,547,NGC_2835
943,549,NGC_2835
944,550,NGC_2835
945,555,NGC_2835
946,558,NGC_2835
947,561,NGC_2835
948,562,NGC_2835
949,572,NGC_2835
950,573,NGC_2835
951,581,NGC_2835
952,582,NGC_2835
953,585,NGC_2835
954,588,NGC_2835
955,595,NGC_2835
956,596,NGC_2835
957,597,NGC_2835
958,601,NGC_2835
959,602,NGC_2835
960,603,NGC_2835
961,604,NGC_2835
962,606,NGC_2835
963,607,NGC_2835
964,608,NGC_2835
965,609,NGC_2835
966,610,NGC_2835
967,615,NGC_2835
968,619,NGC_2835
969,621,NGC_2835
970,622,NGC_2835
971,624,NGC_2835
972,628,NGC_2835
973,631,NGC_2835
974,634,NGC_2835
975,637,NGC_2835
976,639,NGC_2835
977,640,NGC_2835
978,644,NGC_2835
979,649,NGC_2835
980,654,NGC_2835
981,655,NGC_2835
982,657,NGC_2835
983,658,NGC_2835
984,661,NGC_2835
985,671,NGC_2835
986,672,NGC_2835
987,673,NGC_2835
988,675,NGC_2835
989,677,NGC_2835
990,680,NGC_2835
991,684,NGC_2835
992,688,NGC_2835
993,690,NGC_2835
994,691,NGC_2835
995,693,NGC_2835
996,695,NGC_2835
997,696,NGC_2835
998,699,NGC_2835
999,708,NGC_2835
1000,711,NGC_2835
1001,712,NGC_2835
1002,715,NGC_2835
1003,716,NGC_2835
1004,717,NGC_2835
1005,719,NGC_2835
1006,720,NGC_2835
1007,741,NGC_2835
1008,742,NGC_2835
1009,743,NGC_2835
1010,745,NGC_2835
1011,747,NGC_2835
1012,748,NGC_2835
1013,750,NGC_2835
1014,759,NGC_2835
1015,764,NGC_2835
1016,774,NGC_2835
1017,779,NGC_2835
1018,780,NGC_2835
1019,781,NGC_2835
1020,783,NGC_2835
1021,786,NGC_2835
1022,789,NGC_2835
1023,791,NGC_2835
1024,796,NGC_2835
1025,797,NGC_2835
1026,800,NGC_2835
1027,802,NGC_2835
1028,804,NGC_2835
1029,814,NGC_2835
1030,816,NGC_2835
1031,817,NGC_2835
1032,821,NGC_2835
1033,822,NGC_2835
1034,828,NGC_2835
1035,833,NGC_2835
1036,837,NGC_2835
1037,841,NGC_2835
1038,843,NGC_2835
1039,851,NGC_2835
1040,855,NGC_2835
1041,864,NGC_2835
1042,865,NGC_2835
1043,867,NGC_2835
1044,869,NGC_2835
1045,871,NGC_2835
1046,873,NGC_2835
1047,874,NGC_2835
1048,876,NGC_2835
1049,877,NGC_2835
1050,878,NGC_2835
1051,880,NGC_2835
1052,883,NGC_2835
1053,887,NGC_2835
1054,888,NGC_2835
1055,895,NGC_2835
1056,899,NGC_2835
1057,900,NGC_2835
1058,904,NGC_2835
1059,906,NGC_2835
1060,908,NGC_2835
1061,910,NGC_2835
1062,912,NGC_2835
1063,920,NGC_2835
1064,921,NGC_2835
1065,922,NGC_2835
1066,923,NGC_2835
1067,926,NGC_2835
1068,930,NGC_2835
1069,937,NGC_2835
1070,938,NGC_2835
1071,941,NGC_2835
1072,943,NGC_2835
1073,948,NGC_2835
1074,949,NGC_2835
1075,956,NGC_2835
1076,959,NGC_2835
1077,962,NGC_2835
1078,963,NGC_2835
1079,965,NGC_2835
1080,966,NGC_2835
1081,971,NGC_2835
1082,972,NGC_2835
1083,973,NGC_2835
1084,974,NGC_2835
1085,979,NGC_2835
1086,983,NGC_2835
1087,987,NGC_2835
1088,991,NGC_2835
1089,994,NGC_2835
1090,995,NGC_2835
1091,996,NGC_2835
1092,998,NGC_2835
1093,1000,NGC_2835
1094,1004,NGC_2835
1095,1006,NGC_2835
1096,1007,NGC_2835
1097,1011,NGC_2835
1098,1015,NGC_2835
1099,1018,NGC_2835
1100,1021,NGC_2835
1101,1022,NGC_2835
1102,1025,NGC_2835
1103,1026,NGC_2835
1104,1027,NGC_2835
1105,1030,NGC_2835
1106,1031,NGC_2835
1107,1038,NGC_2835
1108,1039,NGC_2835
1109,1042,NGC_2835
1110,1044,NGC_2835
1111,1065,NGC_2835
1112,1067,NGC_2835
1113,1068,NGC_2835
1114,1070,NGC_2835
1115,1073,NGC_2835
1116,1075,NGC_2835
1117,1085,NGC_2835
1118,1086,NGC_2835
1119,1090,NGC_2835
1120,1096,NGC_2835
1121,1098,NGC_2835
1122,1101,NGC_2835
1123,1102,NGC_2835
1124,1103,NGC_2835
1125,1104,NGC_2835
1126,1105,NGC_2835
1127,1106,NGC_2835
1128,1107,NGC_2835
1129,1111,NGC_2835
1130,1112,NGC_2835
1131,1113,NGC_2835
1132,1114,NGC_2835
1133,1116,NGC_2835
1134,1118,NGC_2835
1135,1119,NGC_2835
1136,1120,NGC_2835
1137,1122,NGC_2835
1138,1123,NGC_2835
1139,1125,NGC_2835
1140,1126,NGC_2835
1141,1127,NGC_2835
1142,1128,NGC_2835
1143,1129,NGC_2835
1144,1133,NGC_2835
1145,1134,NGC_2835
1146,1143,NGC_2835
1147,1144,NGC_2835
1148,1147,NGC_2835
1149,1153,NGC_2835
1150,1154,NGC_2835
1151,1156,NGC_2835
1152,1160,NGC_2835
1153,1163,NGC_2835
1154,1169,NGC_2835
1155,1172,NGC_2835
1156,1174,NGC_2835
1157,1176,NGC_2835
1158,1179,NGC_2835
1159,1182,NGC_2835
1160,1185,NGC_2835
1161,1186,NGC_2835
1162,1187,NGC_2835
1163,1189,NGC_2835
1164,1190,NGC_2835
1165,1192,NGC_2835
1166,1195,NGC_2835
1167,1196,NGC_2835
1168,1197,NGC_2835
1169,1199,NGC_2835
1170,1200,NGC_2835
1171,1202,NGC_2835
1172,1205,NGC_2835
1173,1206,NGC_2835
1174,1208,NGC_2835
1175,1211,NGC_2835
1176,1215,NGC_2835
1177,1218,NGC_2835
1178,1220,NGC_2835
1179,1222,NGC_2835
1180,1227,NGC_2835
1181,1231,NGC_2835
1182,1233,NGC_2835
1183,1237,NGC_2835
1184,1239,NGC_2835
1185,1243,NGC_2835
1186,1245,NGC_2835
1187,1246,NGC_2835
1188,1247,NGC_2835
1189,1249,NGC_2835
1190,1252,NGC_2835
1191,1253,NGC_2835
1192,1254,NGC_2835
1193,1255,NGC_2835
1194,1256,NGC_2835
1195,1258,NGC_2835
1196,1261,NGC_2835
1197,1264,NGC_2835
1198,1265,NGC_2835
1199,1269,NGC_2835
